time,seconds_elapsed,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,activity,session
1772633246667961300,0.07596142578125,-0.3509953848194331,-0.2921611377306282,0.0355167190611362,-0.103768803179264,-0.0657452642917633,0.038538210093975,walking,2026-03-04_14-07-26
1772633246677910300,0.08591015625,-0.3708031511604786,-0.2754118091121316,-0.0225619604200124,-0.0779494568705558,-0.0967415273189544,-0.0049109957180917,walking,2026-03-04_14-07-26
1772633246687859500,0.095859375,-0.3600316548425704,-0.2343570374071598,-0.1335217507392168,-0.0401965305209159,-0.1233611553907394,-0.0316913798451423,walking,2026-03-04_14-07-26
1772633246697809200,0.10580908203125,-0.2324662552244961,-0.1488686652138829,-0.2262315986186265,0.0030912850052118,-0.1266347020864486,-0.0292117111384868,walking,2026-03-04_14-07-26
1772633246707758000,0.115758056640625,-0.1031714014653116,-0.0194300921350717,-0.2509177115857601,0.0338312722742557,-0.1062525808811187,-0.0118202380836009,walking,2026-03-04_14-07-26
1772633246717707300,0.125707275390625,-0.0395817765429616,0.073221888077259,-0.1574871482163667,0.0299704857170581,-0.1360040754079818,-0.0096817193552851,walking,2026-03-04_14-07-26
1772633246727656200,0.13565625,-0.0140148621533066,0.10871113460958,-0.0389022698462009,0.0313494242727756,-0.1841873824596405,-0.0252250228077173,walking,2026-03-04_14-07-26
1772633246737605000,0.145605224609375,-0.0088377517763525,0.0546872834771871,-0.2083282776594162,0.0629710033535957,-0.1517908275127411,-0.0368726253509521,walking,2026-03-04_14-07-26
1772633246747555000,0.15555517578125,-0.0493991870064288,0.0998389691069722,-0.438166376337409,0.1066803559660911,-0.0932587310671806,-0.0331431478261947,walking,2026-03-04_14-07-26
1772633246757504300,0.165504150390625,-0.0585876519165933,0.183377522406727,-0.4641670790344476,0.1296889930963516,-0.0569023191928863,-0.0128040555864572,walking,2026-03-04_14-07-26
1772633246767453200,0.175453125,0.0224309544514864,0.184498343130201,-0.2612327693730593,0.1146647334098815,-0.0393082685768604,0.0123389577493071,walking,2026-03-04_14-07-26
1772633246777402000,0.185402099609375,0.0759776895914226,0.1353692783020436,0.0517740263789892,0.0619663707911968,-0.0244656726717948,0.0264928583055734,walking,2026-03-04_14-07-26
1772633246787351000,0.19535107421875,0.1042956562548875,0.0048760816037654,0.3020399960577488,0.0040287235751748,0.010509967803955,0.0287211090326309,walking,2026-03-04_14-07-26
1772633246797300200,0.20530029296875,0.137371192708984,-0.128870856193453,0.4085317010521888,-0.0384012907743454,0.057466022670269,0.0327235758304595,walking,2026-03-04_14-07-26
1772633246807249200,0.215249267578125,0.1312700262896716,-0.1423231890931725,0.4261515288949012,-0.0655899122357368,0.0837605074048042,0.0330637097358703,walking,2026-03-04_14-07-26
1772633246817198000,0.225197998046875,0.1380007227841764,-0.1500869549624622,0.4442652777343988,-0.0829457342624664,0.0737518146634101,0.03683527931571,walking,2026-03-04_14-07-26
1772633246827147300,0.235147216796875,0.2008396024044603,-0.1686515163093805,0.4541635714143514,-0.0856500789523124,0.050595074892044,0.0456879399716854,walking,2026-03-04_14-07-26
1772633246837096200,0.24509619140625,0.247975301458314,-0.1427325005464255,0.4607569783300161,-0.0915218144655227,0.0127486269921064,0.0544521361589431,walking,2026-03-04_14-07-26
1772633246847045000,0.255045166015625,0.2138924876578152,-0.1032388406783342,0.5023334358215332,-0.1062126159667968,-0.0450815856456756,0.0475541427731514,walking,2026-03-04_14-07-26
1772633246856994000,0.264994140625,0.1440199100084602,-0.1312231184080243,0.5127151291042567,-0.1112127006053924,-0.0674023404717445,0.0343970619142055,walking,2026-03-04_14-07-26
1772633246866943200,0.274943115234375,0.1166729803342372,-0.1913894178181886,0.3360264368116855,-0.10581886023283,-0.0525953918695449,0.017197910696268,walking,2026-03-04_14-07-26
1772633246876892200,0.28489208984375,0.0476582616232335,-0.1618067649811506,0.1120697973877191,-0.0962826162576675,-0.0342803001403808,0.0082217268645763,walking,2026-03-04_14-07-26
1772633246886841000,0.294841064453125,0.0268209330387413,-0.0748418904945254,-0.0239513689517974,-0.082849845290184,-0.0184179209172725,0.0118471179157495,walking,2026-03-04_14-07-26
1772633246896791300,0.304791259765625,0.1441347685597837,-0.0499964953124523,-0.1366875212937593,-0.0728339627385139,-0.0002394507173448,0.0377484895288944,walking,2026-03-04_14-07-26
